t,4,0,3,0,2,0,1,0,,t,2,0,4,0,6,0,8,0,,
2,0,2,20,2,90,4,40,8,50,,2,0,0,10,2,0,2,60,3,70
4,0,2,10,2,50,3,10,5,50,,4,0,0,50,1,60,2,40,3,10
6,0,1,90,2,20,2,60,3,60,,6,0,0,40,1,30,1,90,2,70
8,0,1,70,1,90,2,10,2,20,,8,0,0,40,1,10,1,60,2,10
10,0,1,50,1,70,1,70,1,50,,10,0,0,30,0,90,1,30,1,70
12,0,1,30,1,50,1,40,1,0,,12,0,0,20,0,70,1,10,1,40
14,0,1,20,1,30,1,10,0,70,,14,0,0,20,0,60,0,80,1,20
16,0,1,10,1,10,0,90,0,50,,16,0,0,20,0,50,0,70,0,90
18,0,1,0,1,0,0,70,0,30,,18,0,0,10,0,40,0,60,0,70
20,0,0,90,0,90,0,60,0,20,,20,0,0,10,0,30,0,50,0,60
